,num_device,date,en_L1,cons_en_L1,en_L2,cons_en_L2,en_L3,cons_en_L3,hour,day,month,year,cons_glbal
19340,192,2020-02-01 00:00:00,28499067.191589355,4927.0,22303730.6736908,3429.25,14750226.20640564,3433.875,0,Saturday,2,2020,11790.125
19341,192,2020-02-01 01:00:00,28503982.816589355,4915.625,22306809.7986908,3079.125,14753314.08140564,3087.875,1,Saturday,2,2020,11082.625
19342,192,2020-02-01 02:00:00,28508916.316589355,4933.5,22310172.5486908,3362.75,14756415.70640564,3101.625,2,Saturday,2,2020,11397.875
19343,192,2020-02-01 03:00:00,28513934.816589355,5018.5,22313420.2986908,3247.75,14759800.20640564,3384.5,3,Saturday,2,2020,11650.75
19344,192,2020-02-01 04:00:00,28518883.566589355,4948.75,22316522.6736908,3102.375,14762922.95640564,3122.75,4,Saturday,2,2020,11173.875
19345,192,2020-02-01 05:00:00,28523009.566589355,4126.0,22320291.9236908,3769.25,14766116.70640564,3193.75,5,Saturday,2,2020,11089.0
19346,192,2020-02-01 06:00:00,28527102.066589355,4092.5,22324445.6736908,4153.75,14769449.20640564,3332.5,6,Saturday,2,2020,11578.75
19347,192,2020-02-01 07:00:00,28531281.441589355,4179.375,22328409.5486908,3963.875,14772630.45640564,3181.25,7,Saturday,2,2020,11324.5
19348,192,2020-02-01 08:00:00,28535353.941589355,4072.5,22332541.5486908,4132.0,14775949.95640564,3319.5,8,Saturday,2,2020,11524.0
19349,192,2020-02-01 09:00:00,28539676.441589355,4322.5,22336652.6736908,4111.125,14778991.20640564,3041.25,9,Saturday,2,2020,11474.875
19350,192,2020-02-01 10:00:00,28543792.066589355,4115.625,22340834.9236908,4182.25,14782405.58140564,3414.375,10,Saturday,2,2020,11712.25
19351,192,2020-02-01 11:00:00,28548263.316589355,4471.25,22344513.1736908,3678.25,14785701.45640564,3295.875,11,Saturday,2,2020,11445.375
19352,192,2020-02-01 12:00:00,28553373.191589355,5109.875,22347773.9236908,3260.75,14788980.20640564,3278.75,12,Saturday,2,2020,11649.375
19353,192,2020-02-01 13:00:00,28558495.066589355,5121.875,22351125.5486908,3351.625,14792568.20640564,3588.0,13,Saturday,2,2020,12061.5
19354,192,2020-02-01 14:00:00,28563545.066589355,5050.0,22354595.1736908,3469.625,14795785.08140564,3216.875,14,Saturday,2,2020,11736.5
19355,192,2020-02-01 15:00:00,28568568.941589355,5023.875,22358040.0486908,3444.875,14799098.45640564,3313.375,15,Saturday,2,2020,11782.125
19356,192,2020-02-01 16:00:00,28573597.316589355,5028.375,22361221.5486908,3181.5,14802408.58140564,3310.125,16,Saturday,2,2020,11520.0
