;history;predict
10;[7585.28125, 8631.34375, 8068.84375, 8665.0625, 8780.9375, 8828.46875, 9244.78125, 9078.875, 9271.34375, 8553.34375, 8828.15625, 8483.9375, 8188.53125, 8189.78125, 8585.65625, 7832.40625, 7885.03125, 8096.53125, 7817.0625, 7851.3125, 7763.21875, 7980.0625, 7609.15625, 7814.84375, 8578.84375, 8578.53125, 8641.34375, 9363.90625, 9437.1875, 9403.34375, 9375.46875, 9796.46875, 9067.40625, 9235.78125, 9170.03125, 8745.0, 8856.71875, 9107.34375, 8550.875, 8440.40625, 8556.84375, 8596.5, 7689.8125, 7953.25, 8077.84375, 8046.71875, 8021.96875, 8299.75, 8042.34375, 8411.0625];[8763.65625, 9038.875, 9151.3125, 8684.4375, 9660.28125, 8873.0625, 8774.625, 9352.03125, 8518.875, 8355.5625]
11;[8763.65625, 9038.875, 9151.3125, 8684.4375, 9660.28125, 8873.0625, 8774.625, 9352.03125, 8518.875, 8355.5625, 8232.34375, 8446.40625, 8272.40625, 7835.84375, 8518.5, 7780.03125, 8021.3125, 8210.3125, 7328.65625, 7903.84375, 7735.125, 7628.9375, 8137.6875, 7807.65625, 8564.75, 8251.78125, 8476.71875, 8092.15625, 8224.59375, 8441.625, 8536.59375, 8013.03125, 8018.25, 8369.6875, 7733.1875, 8177.40625, 8171.90625, 8223.34375, 7778.625, 7744.65625, 7949.28125, 8014.15625, 7446.0625, 7883.75, 7173.5625, 7371.09375, 8649.09375, 7639.21875, 7955.28125, 8143.15625];[8179.1875, 8222.53125, 8225.8125, 8762.71875, 8277.46875, 8169.65625, 8475.84375, 7957.15625, 8123.375, 8027.53125]
12;[8179.1875, 8222.53125, 8225.8125, 8762.71875, 8277.46875, 8169.65625, 8475.84375, 7957.15625, 8123.375, 8027.53125, 8060.15625, 8079.71875, 7876.40625, 7952.6875, 7932.875, 7583.03125, 7455.0, 7983.75, 7286.15625, 7279.78125, 6274.1875, 7572.78125, 7540.25, 8615.375, 8077.59375, 8415.75, 7538.90625, 9546.25, 5905.5625, 10743.09375, 8531.875, 7364.125, 8570.46875, 8093.21875, 8029.875, 7837.90625, 8404.46875, 8009.46875, 7588.75, 7479.4375, 8106.3125, 7452.625, 6743.3125, 8520.125, 7379.875, 7645.71875, 7958.375, 8591.34375, 8441.40625, 8885.75];[8154.90625, 8729.75, 8503.6875, 8859.40625, 8634.9375, 7992.5625, 8739.21875, 7871.75, 8225.65625, 8385.15625]
13;[8154.90625, 8729.75, 8503.6875, 8859.40625, 8634.9375, 7992.5625, 8739.21875, 7871.75, 8225.65625, 8385.15625, 7722.71875, 7954.75, 7742.75, 8146.65625, 7634.96875, 7643.65625, 7910.4375, 8000.125, 8093.5, 9124.15625, 8922.5, 8980.5625, 9339.65625, 9974.84375, 9492.375, 9511.71875, 9796.28125, 9241.78125, 9313.59375, 9353.0625, 8933.96875, 9057.375, 8611.71875, 9413.625, 8540.8125, 8669.875, 8852.71875, 8157.4375, 8165.40625, 8546.125, 8980.34375, 8454.6875, 9844.625, 9321.1875, 9351.53125, 9931.9375, 10060.65625, 10040.375, 9271.0, 10942.1875];[9596.28125, 10291.8125, 10031.1875, 9713.875, 9241.46875, 9245.90625, 9298.1875, 9084.25, 9090.8125, 9296.0]
14;[9596.28125, 10291.8125, 10031.1875, 9713.875, 9241.46875, 9245.90625, 9298.1875, 9084.25, 9090.8125, 9296.0, 8955.96875, 8755.0625, 8765.15625, 8671.0625, 8339.78125, 8271.09375, 9550.96875, 8868.21875, 9051.65625, 9685.625, 9254.5, 9086.375, 9626.78125, 9344.875, 9126.46875, 9240.4375, 8769.40625, 8729.40625, 8608.3125, 8690.28125, 8230.21875, 8275.0, 8034.0625, 8039.8125, 7912.875, 8123.125, 7845.3125, 7985.0, 7958.3125, 7962.375, 8034.3125, 8360.4375, 8808.6875, 9096.4375, 8540.25, 9309.3125, 9385.625, 9213.3125, 9197.0625, 8386.5625];[8215.0, 8456.5, 8737.6875, 8239.875, 7751.4375, 8522.5625, 7986.1875, 8326.25, 8560.0, 5963.1875]
15;[8215.0, 8456.5, 8737.6875, 8239.875, 7751.4375, 8522.5625, 7986.1875, 8326.25, 8560.0, 5963.1875, 7860.4375, 8006.3125, 7997.5625, 7692.5625, 8110.125, 8470.0, 8446.9375, 8652.5625, 9188.625, 9154.9375, 9284.0, 8986.625, 9681.25, 8984.3125, 8916.75, 9173.9375, 8385.9375, 8422.6875, 8525.1875, 8412.625, 7824.0, 8103.6875, 8048.75, 7899.875, 7581.8125, 8104.3125, 8026.5625, 8005.8125, 6436.75, 9456.5625, 8871.8125, 9195.25, 10030.375, 9618.0625, 9487.375, 10109.625, 9146.375, 9239.375, 9130.1875, 9576.0625];[8742.875, 9282.3125, 9204.8125, 9001.6875, 8744.1875, 9076.0, 8250.9375, 8195.8125, 8096.875, 8370.5]
16;[8742.875, 9282.3125, 9204.8125, 9001.6875, 8744.1875, 9076.0, 8250.9375, 8195.8125, 8096.875, 8370.5, 7954.6875, 8764.3125, 9331.8125, 9268.0625, 9559.0, 9791.3125, 9218.25, 7593.3125, 8071.375, 9806.5625, 8955.1875, 10278.5, 9977.3125, 9391.375, 9219.5625, 9694.5, 8831.5, 10219.875, 9514.0, 8799.4375, 9045.3125, 9184.0, 8799.3125, 8299.5, 8893.4375, 9597.0, 8954.625, 9015.625, 9990.875, 9470.8125, 9662.1875, 9712.6875, 9444.4375, 9458.9375, 9011.875, 9461.4375, 8921.0625, 9191.25, 9378.5, 8249.3125];[8513.125, 8711.3125, 8262.0, 7955.1875, 8178.6875, 8755.75, 8054.1875, 8275.0625, 7832.8125, 7834.5]
17;[8513.125, 8711.3125, 8262.0, 7955.1875, 8178.6875, 8755.75, 8054.1875, 8275.0625, 7832.8125, 7834.5, 7913.9375, 8897.625, 8326.5625, 9155.0, 9056.375, 9532.5, 9061.5, 9164.0, 9508.5625, 8950.3125, 8208.5625, 8836.5, 8218.3125, 8564.4375, 7706.3125, 8341.0625, 8099.6875, 7856.0625, 8579.75, 7672.875, 8059.0, 8113.0, 7626.3125, 7812.6875, 8178.5625, 8536.25, 8378.375, 8937.75, 9432.625, 8660.9375, 8693.8125, 9975.0625, 8961.5625, 9087.4375, 9103.125, 8310.1875, 8666.375, 7879.6875, 8502.0, 8247.4375];[7672.25, 8128.0625, 8581.8125, 7882.625, 8395.4375, 7692.3125, 7592.5625, 7739.4375, 8558.0, 8437.9375]
18;[7672.25, 8128.0625, 8581.8125, 7882.625, 8395.4375, 7692.3125, 7592.5625, 7739.4375, 8558.0, 8437.9375, 8523.8125, 9121.25, 9326.3125, 9194.4375, 8914.3125, 9303.125, 9023.75, 8596.0, 8788.75, 8203.875, 8565.6875, 8435.0, 8022.75, 7753.4375, 8647.75, 8076.1875, 7888.5, 8164.375, 7683.9375, 7908.5625, 7657.625, 8028.6875, 8055.125, 8275.9375, 8949.4375, 8874.5, 9122.1875, 9800.0625, 8728.6875, 9427.3125, 8893.8125, 9291.625, 8870.3125, 8553.4375, 8575.8125, 8584.9375, 8094.4375, 8490.0625, 8153.5625, 7849.4375];[7971.875, 8094.3125, 7674.4375, 7607.4375, 8119.375, 8137.125, 6111.1875, 8734.75, 8597.125, 8874.0]
19;[7971.875, 8094.3125, 7674.4375, 7607.4375, 8119.375, 8137.125, 6111.1875, 8734.75, 8597.125, 8874.0, 8385.3125, 9070.6875, 8994.8125, 9186.3125, 8848.5625, 8454.5625, 8266.6875, 8479.8125, 7864.625, 8253.5625, 8334.9375, 7824.0, 8088.625, 7308.9375, 8887.375, 7684.0625, 7766.75, 7891.8125, 7804.5625, 7399.375, 7760.5, 7946.875, 8154.625, 7716.4375, 8056.375, 7998.0, 8715.6875, 8053.1875, 7332.125, 8587.25, 7569.125, 8085.3125, 7787.8125, 7950.4375, 8379.625, 7726.75, 7602.8125, 8160.9375, 7706.75, 7545.875];[7435.0, 7341.5, 7228.125, 7006.875, 7588.8125, 7777.625, 7379.5625, 8025.0, 7717.6875, 8337.0]
