;history;predict
255;[7486.0, 7234.0, 7270.25, 6955.0, 6223.25, 7176.75, 7132.0, 7275.0, 7218.75, 7124.75, 7853.25, 7103.0, 7412.0, 7764.75, 7323.75, 7470.25, 7176.75, 7644.75, 7371.0, 7382.5, 7562.0, 7344.75, 7396.0, 7375.75, 7184.25, 7171.25, 7113.0, 7862.5, 7015.75, 7089.5, 7455.75, 7188.75, 7311.25, 7444.0, 7434.25, 7198.75, 7600.0, 7364.25, 7129.5, 7643.25, 7396.25, 7402.25, 7158.5, 7598.25, 7084.25, 7630.75, 7479.25, 7545.5, 6874.5, 8186.5];[7135.0, 7115.75, 8060.25, 7138.75, 7200.25, 7418.5, 7230.5, 7475.75, 7483.5, 7310.0]
256;[7135.0, 7115.75, 8060.25, 7138.75, 7200.25, 7418.5, 7230.5, 7475.75, 7483.5, 7310.0, 7504.75, 7475.5, 7316.5, 7728.25, 7499.5, 7501.5, 7775.25, 7367.25, 7210.75, 7731.0, 7336.0, 7597.5, 7147.0, 7424.0, 7291.0, 7131.75, 7819.75, 7373.0, 7194.0, 7144.75, 7930.0, 7251.75, 7109.5, 7887.75, 7130.5, 7283.75, 7975.75, 7314.25, 7470.5, 7920.5, 7333.5, 7555.25, 7349.25, 7602.5, 7315.5, 7322.5, 7706.5, 7263.0, 7197.25, 7454.5];[7035.0, 7277.0, 7304.25, 7115.0, 7192.0, 7484.5, 6967.0, 7572.25, 7370.75, 7921.5]
257;[7035.0, 7277.0, 7304.25, 7115.0, 7192.0, 7484.5, 6967.0, 7572.25, 7370.75, 7921.5, 7496.0, 7263.25, 7646.75, 7521.25, 7363.0, 7794.25, 7303.0, 7335.75, 7347.25, 7643.0, 7368.0, 7086.75, 7122.25, 5580.25, 7194.5, 7306.25, 7647.5, 7035.5, 7443.25, 7770.0, 6986.75, 7458.75, 7682.75, 7302.25, 7637.25, 7755.25, 7365.75, 7068.25, 8050.0, 7379.25, 6993.25, 7407.5, 7534.25, 7039.0, 7184.5, 7463.5, 7224.0, 7207.75, 7454.0, 7353.75];[7539.0, 7419.75, 7386.5, 7698.25, 7450.25, 7778.0, 7057.0, 7686.25, 7609.5, 7538.5]
258;[7539.0, 7419.75, 7386.5, 7698.25, 7450.25, 7778.0, 7057.0, 7686.25, 7609.5, 7538.5, 7381.5, 7565.0, 7376.25, 7622.5, 7064.0, 7659.5, 7385.75, 7201.5, 7354.25, 7260.0, 6975.5, 7273.0, 7322.5, 7007.25, 7256.75, 7602.25, 7369.5, 7781.5, 7480.75, 7613.25, 7136.5, 7087.25, 7978.5, 7486.0, 7608.75, 7132.75, 7473.75, 7376.5, 7435.5, 7126.75, 7168.0, 7459.75, 7242.75, 7237.25, 7152.0, 7547.5, 6974.25, 6953.5, 7674.5, 7371.0];[7172.0, 7404.0, 7230.5, 7611.5, 7355.75, 7422.25, 7317.5, 7508.25, 7610.5, 7371.25]
259;[7172.0, 7404.0, 7230.5, 7611.5, 7355.75, 7422.25, 7317.5, 7508.25, 7610.5, 7371.25, 7361.0, 7212.25, 6771.0, 6791.75, 7303.5, 6681.75, 6880.75, 6708.0, 7044.25, 6308.25, 7037.25, 6347.75, 7241.25, 6335.25, 6745.25, 7047.5, 6633.25, 6305.0, 6826.25, 6770.25, 6293.25, 6585.25, 6762.5, 6541.5, 6544.25, 6855.25, 6665.0, 6549.0, 7076.25, 6844.0, 6377.25, 7012.5, 6565.5, 6316.75, 6747.0, 6631.0, 6596.0, 6674.0, 6618.0, 6272.0];[6870.5, 6702.25, 6623.5, 6521.0, 7131.25, 6831.25, 6655.25, 7045.0, 6887.5, 6524.5]
260;[6870.5, 6702.25, 6623.5, 6521.0, 7131.25, 6831.25, 6655.25, 7045.0, 6887.5, 6524.5, 6539.5, 6859.75, 6816.25, 6215.5, 6902.0, 6471.0, 6606.5, 6555.0, 6591.5, 6718.5, 6728.5, 7099.5, 6714.25, 7020.25, 7366.5, 7013.75, 6872.75, 7237.5, 7439.0, 7095.5, 7311.5, 7153.25, 6962.25, 7150.0, 7526.75, 7150.0, 6821.25, 7039.75, 7165.0, 7022.5, 6982.75, 5412.75, 7070.0, 6608.75, 7614.25, 6642.75, 7135.25, 7331.25, 7374.25, 7099.5];[7200.5, 7518.5, 7151.75, 7516.25, 7428.5, 7112.75, 7177.5, 7669.25, 7340.0, 7281.5]
261;[7200.5, 7518.5, 7151.75, 7516.25, 7428.5, 7112.75, 7177.5, 7669.25, 7340.0, 7281.5, 7234.75, 7219.5, 7140.25, 6902.0, 7353.5, 6968.0, 6519.75, 7560.25, 6843.0, 6724.0, 6611.0, 6903.25, 6459.5, 6841.5, 7072.5, 6793.75, 6910.5, 7159.5, 6656.25, 7177.75, 7183.25, 6937.25, 6677.0, 7184.25, 7177.5, 6902.25, 6732.5, 6984.75, 7047.0, 7005.25, 6973.5, 6706.0, 6720.75, 7239.25, 6949.5, 7279.75, 6979.5, 7500.5, 7304.5, 6835.5];[7489.75, 7070.25, 7246.75, 7372.0, 6766.0, 7133.0, 7359.25, 6842.0, 6712.75, 6972.0]
262;[7489.75, 7070.25, 7246.75, 7372.0, 6766.0, 7133.0, 7359.25, 6842.0, 6712.75, 6972.0, 7279.75, 6668.75, 6937.5, 7068.5, 6748.25, 6709.5, 7081.75, 6749.5, 7154.0, 7283.0, 6956.75, 6648.75, 6913.75, 7324.25, 6788.5, 6678.5, 6767.25, 7253.25, 6839.75, 6583.75, 6999.5, 6572.0, 6544.5, 6920.5, 6986.75, 6502.0, 6975.75, 6777.75, 6286.75, 6958.5, 6597.5, 6705.5, 6917.0, 7128.0, 7264.0, 7263.5, 7207.25, 7111.0, 7066.5, 7523.0];[6844.25, 7255.25, 7118.25, 7159.0, 6909.0, 6935.25, 7391.25, 6641.0, 6759.75, 7044.5]
263;[6844.25, 7255.25, 7118.25, 7159.0, 6909.0, 6935.25, 7391.25, 6641.0, 6759.75, 7044.5, 6787.0, 6783.75, 6762.5, 7155.5, 6337.75, 6668.25, 7111.25, 6761.0, 7252.25, 7284.0, 6989.5, 7113.5, 6913.75, 7398.25, 6912.5, 3685.5, 6811.25, 6800.5, 6490.25, 6981.5, 6782.75, 6817.75, 6425.75, 6705.25, 6522.0, 6603.5, 6091.5, 6456.0, 6421.25, 6906.25, 6831.5, 6743.25, 7601.25, 6668.5, 7198.75, 7007.0, 7218.75, 6912.25, 6934.0, 7366.5];[6937.5, 6643.75, 7063.25, 7043.5, 6763.5, 6419.0, 7205.75, 6247.0, 6829.0, 4726.5]
264;[6937.5, 6643.75, 7063.25, 7043.5, 6763.5, 6419.0, 7205.75, 6247.0, 6829.0, 4726.5, 6717.5, 6588.75, 6635.5, 6786.25, 6634.75, 6939.25, 7324.0, 7098.5, 6918.75, 7503.25, 6830.75, 7106.0, 7526.0, 6861.0, 7115.5, 7342.5, 7145.5, 6654.75, 6760.25, 7715.0, 6833.0, 6721.75, 7254.25, 6652.25, 6972.75, 7346.25, 7084.25, 6896.5, 7300.0, 6997.5, 7241.75, 7100.5, 7548.25, 6918.5, 6907.75, 7343.0, 7173.0, 6887.75, 6913.25, 7374.25];[6938.25, 6918.0, 6947.0, 7243.25, 6726.0, 7092.5, 6810.5, 6723.5, 7401.0, 6896.25]
265;[6938.25, 6918.0, 6947.0, 7243.25, 6726.0, 7092.5, 6810.5, 6723.5, 7401.0, 6896.25, 7173.25, 6898.25, 7388.75, 7237.25, 7311.25, 7599.25, 7371.5, 7145.25, 7821.0, 7608.25, 7060.0, 7638.25, 7337.75, 7350.0, 7389.25, 7391.5, 7410.75, 7165.0, 7459.5, 7257.25, 7109.75, 7521.75, 6805.5, 7244.25, 7269.0, 7931.25, 7173.0, 7078.0, 7550.5, 7393.75, 7110.25, 7750.75, 7547.0, 7313.25, 7524.0, 7704.0, 7295.25, 7644.5, 7411.5, 7115.5];[7383.0, 7364.5, 7621.25, 7162.25, 7523.25, 7323.25, 7761.0, 7276.0, 7969.25, 7392.0]
266;[7383.0, 7364.5, 7621.25, 7162.25, 7523.25, 7323.25, 7761.0, 7276.0, 7969.25, 7392.0, 7622.75, 8066.25, 7707.25, 7952.5, 8275.5, 7665.5, 8058.75, 7929.25, 7927.25, 8037.5, 7767.0, 7768.0, 8082.5, 7559.0, 7826.0, 7942.5, 7497.0, 7604.5, 8227.25, 7161.5, 7436.0, 7727.75, 7326.5, 7763.5, 7041.0, 7727.5, 7066.0, 7596.5, 7562.0, 7515.25, 7324.25, 7524.0, 7834.25, 7241.5, 7472.5, 7527.25, 7441.25, 7483.25, 7709.5, 7141.25];[7309.75, 7528.25, 6866.0, 7225.0, 7022.0, 7512.5, 7251.75, 7044.25, 7622.5, 7211.0]
267;[7309.75, 7528.25, 6866.0, 7225.0, 7022.0, 7512.5, 7251.75, 7044.25, 7622.5, 7211.0, 6878.25, 8051.75, 7680.5, 7180.0, 7740.75, 7869.0, 7478.5, 7903.5, 7032.0, 7278.5, 6803.75, 7732.25, 6905.75, 6935.5, 7030.25, 7038.0, 6365.25, 5134.75, 6794.5, 6897.25, 6629.5, 7164.25, 6611.0, 6487.25, 6940.25, 6849.5, 7019.25, 6684.0, 7585.0, 6883.25, 6993.0, 7096.0, 6854.75, 7110.75, 7179.75, 6984.5, 6654.25, 7363.75, 6993.0, 6752.0];[7005.0, 6990.0, 6749.25, 6701.0, 7101.75, 6824.25, 6779.75, 7100.0, 6715.75, 7013.25]
268;[7005.0, 6990.0, 6749.25, 6701.0, 7101.75, 6824.25, 6779.75, 7100.0, 6715.75, 7013.25, 6973.25, 7995.75, 7193.75, 7077.0, 7905.5, 7052.25, 7380.5, 7728.0, 7281.25, 7604.0, 7056.5, 6970.0, 7702.5, 7176.75, 7436.75, 7165.5, 7381.25, 7291.25, 7009.0, 7391.75, 6724.0, 7338.0, 6933.25, 6723.5, 7465.75, 7184.25, 6968.0, 7391.0, 7244.75, 6807.0, 7818.0, 6841.5, 7091.25, 7192.75, 7404.75, 6984.75, 6851.75, 7785.5, 7020.0, 6878.75];[7164.0, 7132.5, 7071.5, 7010.0, 7755.5, 7026.5, 6815.5, 7347.5, 6897.5, 6977.5]
269;[7164.0, 7132.5, 7071.5, 7010.0, 7755.5, 7026.5, 6815.5, 7347.5, 6897.5, 6977.5, 7471.25, 6944.75, 6911.25, 7282.5, 7237.5, 6916.75, 7008.5, 7345.5, 7426.5, 7363.5, 7197.25, 7515.75, 7035.75, 7055.75, 7025.5, 6737.25, 6788.5, 7272.75, 6609.0, 7023.25, 7280.75, 6996.75, 6918.75, 7180.5, 7293.25, 6916.5, 7052.0, 7303.25, 6895.25, 7375.25, 7426.0, 7055.0, 7380.75, 7226.25, 6602.75, 6851.0, 7203.75, 6783.75, 6776.25, 6766.5];[7085.5, 6639.25, 6827.5, 7032.25, 6778.0, 6787.25, 7160.75, 7174.0, 6728.75, 7196.5]
270;[7085.5, 6639.25, 6827.5, 7032.25, 6778.0, 6787.25, 7160.75, 7174.0, 6728.75, 7196.5, 7221.0, 6727.25, 7027.75, 7044.75, 6969.0, 7269.25, 7129.5, 6668.75, 6960.5, 7160.0, 6706.0, 7440.0, 6682.25, 7057.25, 6726.25, 7166.75, 7187.5, 7286.75, 6872.5, 7591.75, 6735.5, 7431.75, 7697.75, 7603.25, 7195.5, 7101.75, 7318.0, 7186.25, 6950.5, 7500.0, 7302.75, 7120.75, 7449.0, 7220.75, 6916.75, 5362.0, 7333.25, 6815.25, 7124.25, 7112.0];[7570.75, 6979.25, 7154.5, 7009.75, 7393.25, 7190.75, 7708.25, 7278.5, 7327.5, 7455.5]
271;[7570.75, 6979.25, 7154.5, 7009.75, 7393.25, 7190.75, 7708.25, 7278.5, 7327.5, 7455.5, 7482.25, 7437.75, 7083.75, 7459.5, 7226.25, 7098.5, 7240.5, 6876.25, 7058.5, 6981.0, 7194.0, 6940.25, 7097.75, 7057.75, 7050.5, 7575.25, 7944.5, 7544.75, 7126.5, 7772.5, 7400.75, 7493.0, 7360.75, 7640.0, 7362.0, 7027.25, 7506.25, 7130.25, 7148.5, 7482.5, 6870.75, 7292.25, 7405.25, 6731.25, 7268.0, 6974.75, 7443.0, 7236.25, 7079.25, 7372.5];[7365.75, 7485.75, 7465.25, 7991.5, 7561.25, 7486.25, 7714.75, 6719.75, 8251.5, 7350.5]
272;[7365.75, 7485.75, 7465.25, 7991.5, 7561.25, 7486.25, 7714.75, 6719.75, 8251.5, 7350.5, 7348.25, 7094.75, 7406.25, 7458.0, 7066.0, 7286.0, 7007.75, 7138.0, 7043.0, 7497.0, 7248.25, 7175.5, 7465.0, 7294.75, 7255.75, 7691.5, 7479.75, 7834.25, 7830.25, 7648.25, 6896.75, 7379.0, 6696.75, 7160.75, 7087.5, 7600.0, 6918.75, 7159.5, 7158.0, 7162.0, 7018.5, 6747.0, 7039.5, 6818.25, 6980.5, 7411.25, 6773.0, 7257.25, 7112.0, 7411.5];[7224.75, 7637.5, 7496.0, 7263.0, 7486.25, 7786.0, 7642.75, 7307.0, 7608.5, 7363.75]
273;[7224.75, 7637.5, 7496.0, 7263.0, 7486.25, 7786.0, 7642.75, 7307.0, 7608.5, 7363.75, 7362.75, 7398.75, 7306.5, 7282.25, 7031.5, 7574.25, 6971.5, 7141.75, 7587.5, 6614.5, 7110.75, 7176.25, 6738.75, 7186.75, 6795.0, 7377.5, 6924.25, 6921.0, 7400.25, 7170.5, 7076.25, 7488.0, 7324.5, 7192.5, 7324.0, 7671.75, 7397.0, 6832.75, 7456.75, 7293.5, 7028.25, 7263.25, 7149.5, 7082.0, 7168.5, 7430.0, 7360.0, 7401.75, 7588.25, 7397.75];[7456.0, 7638.75, 7543.75, 7469.75, 7502.5, 7624.75, 7379.0, 7240.0, 7322.75, 7167.75]
274;[7456.0, 7638.75, 7543.75, 7469.75, 7502.5, 7624.75, 7379.0, 7240.0, 7322.75, 7167.75, 6044.75, 7972.0, 6716.25, 4896.0, 7080.75, 6773.25, 7136.25, 6985.0, 6956.75, 6719.0, 7222.5, 7213.25, 7097.75, 7317.25, 7519.25, 7112.25, 7299.0, 7128.0, 7454.5, 7257.0, 7160.75, 7668.5, 6859.25, 6905.25, 7298.0, 6881.0, 6886.75, 7111.25, 6566.5, 6882.75, 6734.75, 7491.0, 7055.0, 7016.25, 7669.5, 7258.75, 7192.0, 7607.5, 7606.5, 7307.0];[7795.0, 7210.75, 7408.0, 7556.5, 7411.0, 7262.25, 7582.75, 7822.0, 7138.75, 7303.5]
275;[7795.0, 7210.75, 7408.0, 7556.5, 7411.0, 7262.25, 7582.75, 7822.0, 7138.75, 7303.5, 7253.0, 8180.5, 7168.5, 7400.0, 7441.75, 7021.0, 7034.0, 7601.75, 7621.25, 7181.5, 7767.0, 7531.25, 7521.0, 7776.25, 8132.0, 7375.5, 7824.25, 7790.75, 7963.25, 7155.0, 7875.0, 7951.0, 7224.75, 7641.5, 7607.0, 7379.75, 7035.0, 7973.75, 7297.25, 7857.5, 7761.75, 7887.0, 7645.75, 7712.0, 7696.25, 7909.25, 7850.5, 7942.0, 7734.75, 7821.25];[8032.75, 7513.75, 7639.75, 7988.5, 7684.0, 7257.0, 7553.5, 7464.5, 7365.5, 7730.5]
276;[8032.75, 7513.75, 7639.75, 7988.5, 7684.0, 7257.0, 7553.5, 7464.5, 7365.5, 7730.5, 7496.75, 7556.0, 7272.0, 8144.5, 7342.75, 8014.75, 7694.75, 8068.0, 8196.5, 7836.0, 8719.25, 7663.75, 7902.75, 8540.5, 7694.25, 7650.25, 7552.5, 8104.5, 7327.75, 7436.5, 8115.0, 7357.5, 7196.0, 7750.5, 7377.75, 7388.5, 7391.75, 7204.5, 7272.5, 6965.75, 6885.25, 7703.25, 7160.5, 7400.5, 7435.5, 7040.5, 7466.75, 6370.25, 7223.25, 7103.0];[7583.75, 7081.75, 7186.25, 7246.25, 7173.5, 6678.75, 7946.5, 6793.5, 6989.5, 7463.0]
277;[7583.75, 7081.75, 7186.25, 7246.25, 7173.5, 6678.75, 7946.5, 6793.5, 6989.5, 7463.0, 6993.0, 7594.0, 6848.5, 7412.5, 7748.0, 7344.0, 7557.0, 7620.5, 7427.0, 7426.0, 7513.5, 7547.5, 7642.5, 7676.5, 7423.0, 7376.0, 7680.5, 7615.0, 7338.0, 7666.5, 7395.5, 5196.0, 7236.0, 7103.5, 7196.5, 7439.0, 7602.0, 7333.5, 7243.5, 7326.5, 8401.0, 7507.5, 7386.0, 8239.0, 7748.0, 7558.0, 8011.5, 7785.5, 7831.5, 7468.0];[7838.5, 7251.5, 7762.5, 7758.0, 7271.5, 7589.0, 7381.0, 7589.5, 7225.5, 8046.0]
278;[7838.5, 7251.5, 7762.5, 7758.0, 7271.5, 7589.0, 7381.0, 7589.5, 7225.5, 8046.0, 7941.0, 8003.5, 7960.5, 8511.5, 7767.5, 8440.0, 8502.0, 8107.5, 8220.0, 8267.0, 7831.0, 8062.0, 7851.5, 8001.5, 7354.0, 7743.0, 7461.0, 7648.5, 7178.5, 7719.5, 7174.0, 7457.5, 7622.5, 8394.5, 7474.5, 7913.0, 8471.0, 7960.5, 8095.5, 7942.0, 7710.0, 7890.0, 8075.5, 7890.5, 8299.5, 7604.0, 8033.5, 7460.0, 7587.0, 7518.0];[7384.5, 7976.0, 8033.5, 7024.0, 7640.0, 7416.5, 8119.5, 7801.0, 7841.5, 8092.5]
279;[7384.5, 7976.0, 8033.5, 7024.0, 7640.0, 7416.5, 8119.5, 7801.0, 7841.5, 8092.5, 8380.5, 8080.5, 8391.0, 8628.5, 7723.5, 8137.5, 8586.5, 8357.0, 7772.5, 8697.0, 7966.0, 7816.5, 8300.0, 8117.0, 7763.5, 8231.0, 7793.5, 7650.0, 7756.5, 7946.5, 7762.0, 7889.5, 8444.0, 7998.5, 8047.5, 8418.5, 8331.0, 8288.0, 8326.0, 8059.5, 8394.0, 8252.0, 8420.0, 8375.0, 8040.0, 8190.5, 8372.0, 8452.0, 8333.5, 7857.5];[8291.5, 7496.0, 8108.5, 7838.5, 7467.0, 7717.0, 7625.0, 6462.0, 7553.0, 8138.5]
280;[8291.5, 7496.0, 8108.5, 7838.5, 7467.0, 7717.0, 7625.0, 6462.0, 7553.0, 8138.5, 7479.0, 7952.5, 7735.0, 7465.0, 7612.5, 7559.5, 7314.0, 7289.5, 7432.0, 7055.0, 7252.0, 7206.5, 7469.5, 6804.5, 7134.5, 7712.0, 7291.0, 6964.5, 6810.5, 7949.5, 7751.0, 7527.0, 8025.5, 8042.5, 7845.0, 7828.0, 8108.5, 7544.0, 8006.0, 7901.5, 6841.5, 7891.5, 8228.0, 7756.0, 7771.0, 7807.5, 7467.0, 7707.5, 7202.0, 5981.0];[7154.5, 6885.5, 8172.5, 7713.5, 7556.0, 7919.5, 7958.0, 8018.0, 8269.5, 7835.0]
281;[7154.5, 6885.5, 8172.5, 7713.5, 7556.0, 7919.5, 7958.0, 8018.0, 8269.5, 7835.0, 7933.0, 8297.0, 7718.5, 8121.0, 7711.0, 7677.0, 7797.5, 7775.0, 8123.5, 7186.0, 7645.0, 7303.0, 8151.0, 7500.0, 7646.0, 7870.5, 7537.0, 7717.5, 8224.0, 7429.0, 7990.5, 8149.0, 7772.0, 7853.0, 7822.5, 7589.5, 7466.5, 7480.5, 7993.5, 7388.0, 7287.0, 7706.5, 7338.0, 7528.5, 7789.0, 7691.0, 7345.5, 7446.0, 7477.0, 7379.0];[7337.0, 7954.0, 7192.0, 7616.0, 7678.5, 7963.5, 7775.5, 7739.5, 7927.5, 7805.0]
282;[7337.0, 7954.0, 7192.0, 7616.0, 7678.5, 7963.5, 7775.5, 7739.5, 7927.5, 7805.0, 7593.0, 8065.5, 7569.0, 6974.0, 8526.0, 7408.5, 7582.5, 7336.0, 7858.5, 7417.5, 7074.0, 7614.0, 7670.0, 6981.5, 7953.0, 7825.5, 7788.5, 8213.0, 7763.0, 7995.5, 7957.0, 8306.0, 7861.5, 7847.0, 8037.0, 7896.0, 7779.0, 7979.5, 7784.5, 7771.5, 7798.5, 7715.0, 7707.5, 7363.5, 7858.0, 6988.5, 7631.5, 7564.5, 7466.0, 7373.0];[7541.5, 7342.5, 7386.5, 7242.5, 7609.0, 7051.5, 6982.0, 7986.0, 7406.0, 7380.0]
283;[7541.5, 7342.5, 7386.5, 7242.5, 7609.0, 7051.5, 6982.0, 7986.0, 7406.0, 7380.0, 7534.0, 7578.0, 7336.5, 7346.0, 7641.0, 7394.0, 6907.0, 6880.5, 7256.5, 6770.0, 7137.5, 6601.5, 6450.0, 6909.5, 6726.0, 6864.0, 6748.0, 6501.0, 7019.0, 6795.0, 6886.5, 6905.5, 7366.5, 7078.0, 6997.0, 6944.5, 6809.5, 7495.5, 7103.0, 7225.5, 7366.5, 6580.5, 6691.0, 6791.5, 7296.0, 6357.0, 7024.0, 7323.5, 6676.5, 6598.0];[7408.0, 7303.5, 6800.0, 7267.5, 7367.5, 6855.5, 6900.0, 7476.5, 6884.5, 6980.5]
284;[7408.0, 7303.5, 6800.0, 7267.5, 7367.5, 6855.5, 6900.0, 7476.5, 6884.5, 6980.5, 7198.5, 6667.5, 6986.5, 7273.0, 6622.5, 6813.5, 6450.0, 5668.5, 6740.0, 6983.5, 7049.0, 6829.5, 6978.0, 7269.5, 7556.5, 7523.0, 7722.0, 7287.5, 7547.5, 7597.0, 7596.5, 7226.5, 7317.5, 7371.0, 7129.5, 7496.5, 7326.0, 7230.0, 6895.5, 6894.0, 7299.0, 7151.5, 6937.5, 7569.5, 7064.0, 7409.0, 7284.5, 7623.5, 7518.5, 7843.0];[7641.5, 7498.5, 7458.5, 7797.0, 7801.0, 7228.5, 7938.0, 7278.5, 7405.5, 7133.0]
285;[7641.5, 7498.5, 7458.5, 7797.0, 7801.0, 7228.5, 7938.0, 7278.5, 7405.5, 7133.0, 7338.5, 7474.5, 7114.5, 7461.0, 7202.0, 7264.5, 7447.5, 7287.5, 7471.5, 7448.0, 7768.0, 7360.5, 7547.0, 7891.0, 7402.0, 7712.5, 7444.0, 7809.5, 7496.0, 7882.5, 6980.0, 7964.5, 7806.0, 7540.5, 6808.5, 7839.0, 7413.0, 7399.5, 7189.5, 7666.5, 7395.0, 7069.0, 7344.0, 7679.5, 7648.5, 6171.0, 7797.0, 7825.0, 7335.5, 8083.5];[7429.5, 7648.5, 8080.5, 7794.0, 7278.5, 7786.5, 7558.0, 7698.5, 6884.5, 8215.0]
286;[7429.5, 7648.5, 8080.5, 7794.0, 7278.5, 7786.5, 7558.0, 7698.5, 6884.5, 8215.0, 7347.5, 7373.0, 7784.5, 7281.0, 7348.5, 8005.0, 6975.0, 7738.5, 7472.0, 7831.5, 7850.5, 7652.5, 7620.5, 8131.0, 7940.0, 7975.5, 7942.5, 7769.0, 7699.5, 8029.5, 7361.5, 7907.0, 7847.5, 7675.0, 7523.0, 7279.0, 7739.5, 7457.5, 7752.0, 7493.0, 7605.5, 7565.5, 7719.0, 7274.0, 7582.5, 8193.5, 7282.5, 7402.5, 7727.0, 7953.0];[7583.5, 7499.0, 7784.5, 7766.0, 7302.0, 7860.0, 7444.5, 7568.5, 7602.5, 7608.5]
287;[7583.5, 7499.0, 7784.5, 7766.0, 7302.0, 7860.0, 7444.5, 7568.5, 7602.5, 7608.5, 6852.0, 7062.0, 8342.0, 7727.0, 7839.5, 8129.5, 7695.5, 7721.5, 8006.5, 7613.0, 7541.5, 7408.5, 8188.0, 7932.0, 7905.0, 7665.0, 7686.0, 7757.0, 7859.5, 7309.5, 8143.5, 7577.5, 7892.0, 7292.5, 7621.0, 5771.0, 7317.5, 7630.5, 7617.5, 7772.0, 7722.0, 7451.0, 8111.5, 7277.5, 7838.5, 7429.0, 7987.5, 7786.5, 8195.5, 8017.5];[7489.0, 8082.0, 7598.0, 7412.0, 7900.5, 7474.0, 7311.5, 7250.0, 7649.0, 7471.0]
288;[7489.0, 8082.0, 7598.0, 7412.0, 7900.5, 7474.0, 7311.5, 7250.0, 7649.0, 7471.0, 7324.0, 7676.0, 7617.0, 7866.5, 7339.5, 8504.5, 7500.0, 7464.0, 7846.5, 7575.0, 7893.5, 8012.5, 7526.5, 7864.0, 7193.5, 8097.5, 7250.0, 7507.5, 7944.0, 7280.0, 7353.5, 6864.5, 8257.5, 7291.5, 7645.0, 7405.0, 7544.5, 7260.0, 7898.0, 7545.5, 7806.0, 7840.0, 7513.0, 7522.0, 7868.0, 7977.5, 7145.5, 8066.5, 7808.5, 6993.0];[8004.0, 7600.0, 6981.0, 8063.5, 7962.0, 7301.0, 7451.5, 7319.0, 7706.0, 7321.5]
289;[8004.0, 7600.0, 6981.0, 8063.5, 7962.0, 7301.0, 7451.5, 7319.0, 7706.0, 7321.5, 7593.0, 7835.0, 7804.5, 7381.0, 7846.0, 8076.0, 7565.0, 7927.5, 7778.0, 7710.0, 7431.5, 8030.0, 7535.0, 7703.0, 7844.5, 7504.5, 7489.5, 7614.0, 7426.5, 7293.0, 7377.5, 7379.5, 7352.0, 7422.0, 8154.0, 6657.5, 8332.0, 7403.5, 8176.5, 7274.5, 7448.5, 8100.5, 7523.0, 7872.5, 8212.0, 7529.0, 7810.5, 8027.5, 7474.0, 7791.0];[7631.5, 8082.5, 7244.0, 7782.5, 7937.5, 7841.0, 7500.5, 8078.0, 7762.5, 7642.0]
290;[7631.5, 8082.5, 7244.0, 7782.5, 7937.5, 7841.0, 7500.5, 8078.0, 7762.5, 7642.0, 8078.0, 7251.0, 8313.5, 7508.0, 8203.0, 7707.0, 7529.0, 8055.5, 8299.5, 7639.0, 7933.5, 7718.5, 7785.5, 7570.5, 7715.5, 7635.5, 7572.5, 7571.0, 7399.5, 7167.5, 7659.5, 7496.0, 7531.5, 7627.0, 7792.5, 8003.0, 8214.0, 8341.5, 7787.5, 7871.0, 8371.5, 7920.0, 8387.5, 8178.5, 7875.0, 7904.0, 7876.5, 7944.0, 8040.0, 7697.5];[8025.5, 7729.5, 7568.5, 6161.0, 7632.5, 7940.5, 7702.5, 8111.0, 7914.5, 8032.0]
291;[8025.5, 7729.5, 7568.5, 6161.0, 7632.5, 7940.5, 7702.5, 8111.0, 7914.5, 8032.0, 8096.0, 7946.5, 8017.0, 8055.0, 7937.0, 8140.0, 7891.0, 8452.0, 7886.5, 7903.0, 8180.5, 7897.0, 7919.5, 8123.5, 7584.0, 7529.0, 8326.5, 6805.5, 7863.5, 7401.0, 8039.5, 7685.0, 7658.5, 8517.5, 7888.0, 7928.5, 7433.5, 8481.0, 7993.5, 7843.5, 8326.0, 7865.5, 7920.5, 8224.0, 7909.0, 7733.5, 7943.5, 8028.0, 7514.5, 7686.0];[7929.5, 7633.0, 7786.0, 7949.0, 7365.0, 7215.5, 7900.0, 7294.5, 7858.0, 7600.0]
292;[7929.5, 7633.0, 7786.0, 7949.0, 7365.0, 7215.5, 7900.0, 7294.5, 7858.0, 7600.0, 8039.0, 7748.0, 7438.5, 8054.0, 7512.0, 7970.5, 8118.5, 7532.5, 7636.5, 7990.0, 7819.0, 7228.0, 7602.0, 7938.5, 7293.5, 7346.0, 7992.0, 7725.0, 7907.0, 7981.5, 7807.0, 7883.0, 7983.5, 7964.0, 7457.5, 7764.0, 8447.5, 7482.0, 7930.0, 7916.5, 7754.0, 7632.5, 7680.0, 7849.0, 7506.5, 7541.5, 7713.0, 7280.5, 7370.0, 7716.0];[7364.0, 7460.5, 7718.0, 7574.0, 7772.0, 7944.5, 8096.0, 7562.5, 7730.0, 7863.5]
